frame_idx	x	y	vel_x	vel_y
803	17.556	1529.22	0.41	47.18	
803	30.062	1475.22	-0.08	41.99	
803	40.599	1512.11	-0.24	38.69	
803	54.915	1454	0.15	44.83	
803	7.256	1409.44	1.14	39.47	
803	19.707	1462.95	0.29	48.12	
803	67.229	1422.49	3.38	55.08	
803	19.782	1387.3	-0.35	46.06	
803	42.407	1409.92	0.14	43.02	
803	54.405	1364.17	-0.82	53.41	
804	30.794	1540.31	-0.09	43.75	
804	17.603	1533.92	0.47	46.97	
804	30.047	1479.4	-0.15	41.77	
804	40.592	1515.95	-0.07	38.32	
804	54.93	1458.52	0.15	45.16	
804	7.369	1413.39	1.13	39.5	
804	19.688	1467.71	-0.19	47.65	
804	67.446	1427.98	2.17	54.96	
804	19.748	1391.91	-0.34	46.13	
804	42.422	1414.21	0.15	42.93	
804	54.323	1369.53	-0.82	53.56	
805	30.784	1544.72	-0.1	44.09	
805	17.693	1538.53	0.9	46.17	
805	30.045	1483.62	-0.02	42.18	
805	40.568	1519.82	-0.24	38.69	
805	54.945	1463.11	0.15	45.89	
805	7.481	1417.34	1.12	39.48	
805	19.665	1472.47	-0.23	47.61	
805	67.568	1433.48	1.22	54.92	
805	19.713	1396.51	-0.35	46	
805	42.4	1418.51	-0.22	42.91	
805	29.11	1357.57	0.32	46	
805	54.229	1374.87	-0.94	53.47	
806	30.793	1549.11	0.09	43.88	
806	17.727	1543.03	0.34	44.93	
806	30.051	1487.92	0.06	43.02	
806	40.576	1523.76	0.08	39.47	
806	54.937	1467.72	-0.08	46.15	
806	7.601	1421.28	1.2	39.46	
806	19.668	1477.25	0.03	47.82	
806	67.623	1438.97	0.55	54.93	
806	19.708	1401.07	-0.05	45.61	
806	42.456	1422.82	0.56	43.17	
806	29.109	1362.12	-0.01	45.48	
806	54.152	1380.24	-0.77	53.7	
807	17.75	1547.42	0.23	43.91	
807	30.105	1492.31	0.54	43.95	
807	40.568	1527.76	-0.08	40.01	
807	54.929	1472.31	-0.08	45.88	
807	7.717	1425.23	1.16	39.47	
807	19.697	1482.02	0.29	47.65	
807	67.633	1444.47	0.1	55.05	
807	19.695	1405.55	-0.13	44.71	
807	42.689	1427.19	2.33	43.69	
807	29.124	1366.62	0.15	45.05	
807	54.134	1385.64	-0.18	53.93	
807	42.841	1356.56	0.18	54.59	
808	30.141	1496.73	0.36	44.13	
808	40.56	1531.78	-0.08	40.14	
808	54.921	1476.83	-0.08	45.17	
808	7.804	1429.18	0.87	39.5	
808	19.691	1486.7	-0.06	46.82	
808	68.151	1449.97	5.18	54.98	
808	19.575	1409.91	-1.2	43.62	
808	43.095	1431.57	4.06	43.74	
808	29.139	1371.11	0.15	44.86	
808	54.191	1391.01	0.57	53.78	
808	42.859	1362.07	0.18	55.08	
809	30.183	1501.05	0.42	43.23	
809	40.552	1535.78	-0.08	40.04	
809	54.912	1481.31	-0.09	44.83	
809	7.835	1433.16	0.31	39.78	
809	19.641	1491.26	-0.5	45.62	
809	68.669	1455.47	5.18	54.99	
809	7.724	1354.44	0.12	35.98	
809	19.39	1414.22	-1.85	43.11	
809	43.615	1435.87	5.2	43.06	
809	29.154	1375.6	0.15	44.95	
809	54.237	1396.32	0.46	53.08	
809	42.877	1367.58	0.18	55.13	
810	30.153	1505.23	-0.3	41.84	
810	40.545	1539.78	-0.07	39.99	
810	54.903	1485.81	-0.09	45	
810	7.815	1437.21	-0.2	40.49	
810	19.633	1495.76	-0.08	44.95	
810	7.729	1358.05	0.05	36.04	
810	19.295	1418.56	-0.95	43.46	
810	44.004	1440.07	3.89	42.01	
810	29.169	1380.1	0.15	45.02	
810	54.247	1401.55	0.1	52.23	
810	42.937	1373.02	0.6	54.42	
811	30.104	1509.29	-0.49	40.51	
811	40.537	1543.78	-0.08	40	
811	54.894	1490.31	-0.09	45	
811	7.809	1441.4	-0.06	41.92	
811	19.624	1500.24	-0.09	44.83	
811	7.747	1361.64	0.18	35.9	
811	19.298	1423.06	0.03	44.96	
811	44.165	1444.2	1.61	41.26	
811	29.184	1384.6	0.15	44.99	
811	54.257	1406.72	0.1	51.74	
811	42.951	1378.36	0.14	53.33	
812	30.096	1513.28	-0.08	39.93	
812	40.529	1547.78	-0.08	40	
812	54.885	1494.81	-0.09	45	
812	7.846	1445.7	0.37	43.03	
812	19.615	1504.74	-0.09	44.95	
812	7.793	1365.19	0.46	35.5	
812	19.385	1427.68	0.87	46.23	
812	44.036	1448.37	-1.29	41.69	
812	29.199	1389.1	0.15	45	
812	18.337	1355.65	0.14	44.95	
812	54.274	1411.87	0.17	51.53	
812	42.93	1383.58	-0.21	52.29	
813	30.089	1517.26	-0.07	39.84	
813	54.875	1499.31	-0.1	45	
813	7.902	1450.14	0.56	44.43	
813	19.606	1509.24	-0.09	45.02	
813	7.848	1368.7	0.55	35.1	
813	19.533	1432.42	1.48	47.35	
813	43.819	1452.67	-2.17	43.03	
813	29.214	1393.6	0.15	45	
813	18.359	1360.15	0.22	44.97	
813	54.308	1416.98	0.34	51.13	
813	42.948	1388.76	0.18	51.77	
814	30.081	1521.26	-0.08	39.95	
814	54.866	1503.81	-0.09	45	
814	7.916	1454.65	0.14	45.1	
814	19.597	1513.74	-0.09	45	
814	7.893	1372.18	0.45	34.88	
814	19.648	1437.19	1.15	47.71	
814	43.515	1457.09	-3.04	44.23	
814	29.229	1398.1	0.15	45	
814	18.361	1364.61	0.02	44.54	
814	54.308	1422.04	0	50.5	
814	42.965	1393.92	0.17	51.59	
815	30.073	1525.26	-0.08	40.02	
815	54.858	1508.31	-0.08	45	
815	7.931	1459.18	0.15	45.29	
815	19.588	1518.24	-0.09	45	
815	7.911	1375.67	0.18	34.89	
815	19.764	1441.95	1.16	47.6	
815	43.179	1461.67	-3.36	45.8	
815	29.244	1402.6	0.15	45	
815	18.339	1368.99	-0.22	43.88	
815	54.325	1427.04	0.17	50.01	
815	43.022	1399.03	0.57	51.06	
816	30.065	1529.26	-0.08	40	
816	54.849	1512.81	-0.09	45	
816	7.945	1463.7	0.14	45.21	
816	19.579	1522.74	-0.09	45	
816	7.916	1379.17	0.05	34.98	
816	19.879	1446.7	1.15	47.48	
816	42.829	1466.28	-3.5	46.03	
816	29.259	1407.1	0.15	45	
816	18.355	1373.37	0.16	43.78	
816	54.342	1432.02	0.17	49.85	
816	43.023	1404.03	0.01	50.04	
817	30.057	1533.26	-0.08	40.02	
817	54.84	1517.31	-0.09	45	
817	7.936	1468.21	-0.09	45.11	
817	19.571	1527.24	-0.08	45	
817	7.928	1382.67	0.12	35.01	
817	19.995	1451.45	1.16	47.51	
817	42.47	1470.85	-3.59	45.74	
817	29.274	1411.6	0.15	45	
817	18.441	1377.82	0.86	44.51	
817	54.358	1437.02	0.16	49.96	
817	42.994	1408.94	-0.29	49.1	
818	30.049	1537.26	-0.08	39.96	
818	54.831	1521.81	-0.09	45	
818	7.927	1472.72	-0.09	45.03	
818	19.562	1531.74	-0.09	45	
818	7.94	1386.17	0.12	35.01	
818	20.117	1456.21	1.22	47.65	
818	42.112	1475.37	-3.58	45.21	
818	29.288	1416.1	0.14	45	
818	18.6	1382.37	1.59	45.49	
818	54.375	1442.02	0.17	50.02	
818	42.869	1413.82	-1.25	48.84	
819	30.042	1541.24	-0.07	39.86	
819	54.822	1526.31	-0.09	44.98	
819	7.918	1477.22	-0.09	44.98	
819	19.552	1536.24	-0.1	45	
819	7.951	1389.67	0.11	34.99	
819	20.233	1460.98	1.16	47.71	
819	41.732	1479.85	-3.8	44.77	
819	29.303	1420.6	0.15	45	
819	18.781	1386.98	1.81	46.1	
819	54.392	1447.02	0.17	50	
819	54.308	1359.08	0.63	54.48	
819	42.708	1418.77	-1.61	49.47	
820	30.034	1545.24	-0.08	39.98	
820	54.813	1530.81	-0.09	45.05	
820	7.909	1481.72	-0.09	45.02	
820	19.543	1540.74	-0.09	45	
820	7.963	1393.17	0.12	35.02	
820	20.306	1465.71	0.73	47.28	
820	41.429	1484.3	-3.03	44.47	
820	29.318	1425.1	0.15	45	
820	18.946	1391.6	1.65	46.17	
820	54.407	1452	0.15	49.83	
820	54.371	1364.59	0.63	55.09	
820	42.559	1423.81	-1.49	50.37	
821	30.009	1549.3	-0.25	40.54	
821	54.805	1535.33	-0.08	45.14	
821	7.9	1486.21	-0.09	44.95	
821	19.534	1545.24	-0.09	45	
821	7.974	1396.67	0.11	34.96	
821	20.327	1470.36	0.21	46.47	
821	41.203	1488.68	-2.26	43.83	
821	29.334	1429.6	0.16	45	
821	19.112	1396.2	1.66	46.03	
821	54.424	1457.02	0.17	50.16	
821	54.441	1370.11	0.7	55.19	
821	42.371	1428.9	-1.88	50.95	
822	54.795	1539.83	-0.1	45.01	
822	7.892	1490.7	-0.08	44.83	
822	19.525	1549.74	-0.09	45	
822	7.986	1400.16	0.12	34.86	
822	20.319	1474.93	-0.08	45.67	
822	41.061	1493	-1.42	43.17	
822	29.348	1434.1	0.14	45	
822	19.277	1400.8	1.65	45.98	
822	54.441	1462.11	0.17	50.88	
822	54.541	1375.55	1	54.33	
822	42.188	1434.02	-1.83	51.16	
823	54.803	1544.27	0.08	44.46	
823	7.883	1495.19	-0.09	44.93	
823	7.997	1403.65	0.11	34.97	
823	20.304	1479.46	-0.15	45.34	
823	40.998	1497.26	-0.63	42.59	
823	29.363	1438.6	0.15	45	
823	19.443	1405.4	1.66	45.97	
823	54.438	1467.22	-0.03	51.14	
823	54.57	1380.83	0.29	52.83	
823	42.005	1439.12	-1.83	51.05	
824	54.778	1548.64	-0.25	43.71	
824	7.833	1499.74	-0.5	45.54	
824	7.994	1407.2	-0.03	35.43	
824	20.295	1484	-0.09	45.43	
824	41.01	1501.47	0.12	42.12	
824	29.378	1443.1	0.15	45	
824	19.616	1409.99	1.73	45.97	
824	54.428	1472.31	-0.1	50.88	
824	54.572	1385.99	0.02	51.67	
824	41.822	1444.23	-1.83	51.03	
825	7.801	1504.43	-0.32	46.92	
825	8.005	1410.82	0.11	36.27	
825	20.286	1488.55	-0.09	45.51	
825	41.002	1505.64	-0.08	41.7	
825	29.393	1447.6	0.15	45	
825	5.429	1355.9	1.75	30.42	
825	19.782	1414.6	1.66	46.03	
825	54.418	1477.32	-0.1	50.16	
825	54.502	1391.01	-0.7	50.17	
825	41.639	1449.33	-1.83	51.03	
826	7.814	1509.24	0.13	48.08	
826	8.033	1414.53	0.28	37.03	
826	20.277	1493.1	-0.09	45.48	
826	40.993	1509.78	-0.09	41.42	
826	29.407	1452.09	0.14	44.91	
826	5.589	1358.94	1.6	30.47	
826	19.899	1419.21	1.17	46.17	
826	54.408	1482.31	-0.1	49.83	
826	54.462	1395.95	-0.4	49.42	
826	41.45	1454.44	-1.89	51.15	
827	7.846	1514.19	0.32	49.46	
827	8.046	1418.27	0.13	37.39	
827	20.268	1497.64	-0.09	45.35	
827	40.986	1513.91	-0.07	41.29	
827	29.423	1456.6	0.16	45.09	
827	5.749	1361.99	1.6	30.52	
827	19.962	1423.85	0.63	46.33	
827	54.399	1487.31	-0.09	50	
827	54.428	1400.88	-0.34	49.29	
827	41.313	1459.56	-1.37	51.12	
828	7.836	1519.2	-0.1	50.07	
828	8.058	1422.03	0.12	37.61	
828	20.252	1502.17	-0.16	45.38	
828	40.977	1518.05	-0.09	41.46	
828	29.438	1461.15	0.15	45.48	
828	5.909	1365.04	1.6	30.44	
828	19.978	1428.49	0.16	46.47	
828	54.388	1492.31	-0.11	50	
828	54.395	1405.83	-0.33	49.46	
828	41.178	1464.57	-1.35	50.08	
829	7.826	1524.21	-0.1	50.17	
829	8.055	1425.82	-0.03	37.97	
829	20.23	1506.76	-0.22	45.87	
829	40.969	1522.23	-0.08	41.8	
829	29.442	1465.71	0.04	45.61	
829	6.069	1368.07	1.6	30.33	
829	19.984	1433.14	0.06	46.51	
829	54.379	1497.31	-0.09	50	
829	54.361	1410.78	-0.34	49.53	
829	41.014	1469.44	-1.64	48.74	
829	52.836	1355.02	0.16	49.45	
830	7.816	1529.22	-0.1	50.04	
830	8.068	1429.7	0.13	38.73	
830	20.227	1511.46	-0.03	47	
830	40.961	1526.44	-0.08	42.02	
830	29.433	1470.26	-0.09	45.47	
830	6.232	1371.12	1.63	30.46	
830	20	1437.8	0.16	46.52	
830	54.368	1502.31	-0.11	50	
830	54.328	1415.73	-0.33	49.5	
830	40.858	1474.18	-1.56	47.37	
830	52.853	1360.01	0.17	49.89	
830	43.659	1359.8	-1.6	53.7	
831	7.805	1534.21	-0.11	49.98	
831	8.098	1433.65	0.3	39.58	
831	20.267	1516.3	0.4	48.37	
831	40.952	1530.64	-0.09	42.07	
831	29.424	1474.77	-0.09	45.09	
831	6.345	1374.22	1.13	31.07	
831	20.015	1442.44	0.15	46.49	
831	54.359	1507.31	-0.09	50	
831	54.285	1420.68	-0.43	49.48	
831	40.755	1478.81	-1.03	46.35	
831	52.87	1365.02	0.17	50.11	
831	43.432	1365.23	-2.27	54.27	
832	7.796	1539.21	-0.09	50	
832	8.111	1437.66	0.13	40.02	
832	20.337	1521.25	0.7	49.53	
832	40.944	1534.84	-0.08	42.01	
832	29.414	1479.26	-0.1	44.91	
832	6.466	1377.46	1.21	32.4	
832	20.03	1447.1	0.15	46.52	
832	54.349	1512.31	-0.1	50	
832	54.257	1425.63	-0.28	49.47	
832	40.646	1483.45	-1.09	46.35	
832	52.886	1370.02	0.16	50	
832	43.187	1370.71	-2.45	54.87	
833	7.786	1544.21	-0.1	50	
833	8.123	1441.67	0.12	40.14	
833	20.339	1526.22	0.02	49.66	
833	40.936	1539.04	-0.08	42	
833	29.406	1483.76	-0.08	45	
833	6.618	1380.82	1.52	33.59	
833	20.046	1451.75	0.16	46.5	
833	54.339	1517.31	-0.1	50	
833	54.272	1430.58	0.15	49.49	
833	40.537	1488.09	-1.09	46.45	
833	52.903	1375.02	0.17	50	
833	42.897	1376.25	-2.9	55.4	
834	7.776	1549.21	-0.1	49.98	
834	8.137	1445.67	0.14	40.04	
834	20.296	1531.1	-0.43	48.81	
834	40.928	1543.24	-0.08	42.01	
834	29.397	1488.26	-0.09	45	
834	6.776	1384.32	1.58	34.91	
834	20.055	1456.41	0.09	46.62	
834	54.329	1522.31	-0.1	50	
834	54.318	1435.54	0.46	49.61	
834	40.428	1492.74	-1.09	46.53	
834	52.92	1380.02	0.17	50	
834	42.614	1381.82	-2.83	55.63	
835	8.15	1449.67	0.13	40	
835	20.189	1535.85	-1.07	47.55	
835	40.919	1547.45	-0.09	42.03	
835	29.388	1492.76	-0.09	45	
835	6.886	1387.87	1.1	35.55	
835	20.083	1461.08	0.28	46.66	
835	54.32	1527.31	-0.09	49.98	
835	54.368	1440.52	0.5	49.81	
835	40.319	1497.4	-1.09	46.56	
835	52.937	1385.02	0.17	50	
835	42.333	1387.37	-2.81	55.56	
836	8.164	1453.67	0.14	39.93	
836	20.042	1540.53	-1.47	46.8	
836	29.379	1497.26	-0.09	45	
836	6.997	1391.44	1.11	35.66	
836	20.119	1465.7	0.36	46.27	
836	54.31	1532.31	-0.1	50.05	
836	54.393	1445.51	0.25	49.95	
836	40.197	1502.05	-1.22	46.5	
836	52.953	1390.02	0.16	50	
836	42.051	1392.93	-2.82	55.55	
837	8.177	1457.65	0.13	39.86	
837	19.876	1545.21	-1.66	46.72	
837	29.37	1501.76	-0.09	45	
837	7.109	1394.99	1.12	35.54	
837	20.148	1470.26	0.29	45.61	
837	54.3	1537.32	-0.1	50.13	
837	54.404	1450.5	0.11	49.86	
837	40.112	1506.68	-0.85	46.28	
837	52.97	1395.02	0.17	50	
837	41.77	1398.49	-2.81	55.63	
838	8.191	1461.66	0.14	40.06	
838	19.714	1549.9	-1.62	46.9	
838	29.361	1506.26	-0.09	45	
838	7.221	1398.54	1.12	35.49	
838	20.173	1474.76	0.25	44.99	
838	54.29	1542.33	-0.1	50.03	
838	54.42	1455.52	0.16	50.17	
838	40.07	1511.26	-0.42	45.84	
838	52.987	1400.02	0.17	50	
838	41.475	1404.03	-2.95	55.43	
839	8.151	1465.73	-0.4	40.71	
839	29.352	1510.76	-0.09	45	
839	7.332	1402.09	1.11	35.53	
839	20.17	1479.24	-0.03	44.82	
839	54.297	1547.28	0.07	49.57	
839	54.437	1460.61	0.17	50.92	
839	40.053	1515.8	-0.17	45.33	
839	53.002	1405.02	0.15	50	
839	41.26	1409.51	-2.15	54.81	
840	8.119	1469.93	-0.32	41.97	
840	29.344	1515.26	-0.08	45	
840	7.444	1405.65	1.12	35.54	
840	20.155	1483.73	-0.15	44.91	
840	54.442	1465.74	0.05	51.28	
840	40.078	1520.29	0.25	44.99	
840	53.019	1410.02	0.17	50	
840	41.1	1414.9	-1.6	53.83	
841	8.134	1474.25	0.15	43.19	
841	29.335	1519.76	-0.09	44.98	
841	7.562	1409.18	1.18	35.36	
841	20.146	1488.22	-0.09	44.85	
841	54.431	1470.83	-0.11	50.89	
841	40.081	1524.78	0.03	44.88	
841	53.036	1415.02	0.17	50	
841	40.995	1420.16	-1.05	52.68	
842	8.166	1478.69	0.32	44.43	
842	29.326	1524.26	-0.09	45.05	
842	7.677	1412.69	1.15	35.04	
842	20.138	1492.71	-0.08	44.94	
842	54.438	1475.79	0.07	49.63	
842	40.066	1529.28	-0.15	44.95	
842	53.052	1420.02	0.16	50	
842	31.886	1358.58	-1.03	44.8	
842	40.946	1425.34	-0.49	51.7	
843	8.157	1483.2	-0.09	45.08	
843	29.316	1528.78	-0.1	45.14	
843	7.755	1416.18	0.78	34.93	
843	20.088	1497.27	-0.5	45.54	
843	54.412	1480.64	-0.26	48.53	
843	40.057	1533.78	-0.09	45.01	
843	53.069	1425.02	0.17	50	
843	31.876	1363.05	-0.1	44.66	
843	40.976	1430.44	0.3	51.08	
844	8.148	1487.71	-0.09	45.16	
844	29.307	1533.28	-0.09	45.01	
844	7.749	1419.72	-0.06	35.43	
844	20.056	1501.96	-0.32	46.92	
844	54.403	1485.49	-0.09	48.47	
844	40.048	1538.28	-0.09	45.01	
844	53.085	1430.02	0.16	49.98	
844	31.899	1367.45	0.23	43.97	
844	40.992	1435.53	0.16	50.88	
844	55.597	1358.02	-0.01	45.3	
845	8.139	1492.22	-0.09	45.04	
845	29.315	1537.72	0.08	44.47	
845	7.748	1423.4	-0.01	36.83	
845	20.069	1506.77	0.13	48.08	
845	54.394	1490.37	-0.09	48.8	
845	40.039	1542.78	-0.09	45	
845	53.102	1435.03	0.17	50.05	
845	19.323	1357.17	-0.47	37.35	
845	31.915	1371.76	0.16	43.1	
845	41.01	1440.62	0.18	50.94	
845	55.611	1362.53	0.14	45.09	
846	8.131	1496.71	-0.08	44.98	
846	29.29	1542.09	-0.25	43.69	
846	7.785	1427.2	0.37	37.98	
846	20.1	1511.71	0.31	49.46	
846	54.4	1495.26	0.06	48.89	
846	40.03	1547.28	-0.09	44.98	
846	53.119	1440.04	0.17	50.14	
846	19.292	1360.94	-0.31	37.62	
846	31.951	1375.95	0.36	41.94	
846	41.027	1445.73	0.17	51.02	
846	55.626	1367.02	0.15	44.87	
847	8.122	1501.21	-0.09	45	
847	29.282	1546.42	-0.08	43.32	
847	7.84	1431.15	0.55	39.43	
847	20.09	1516.72	-0.1	50.07	
847	54.413	1500.08	0.13	48.21	
847	53.136	1445.04	0.17	49.99	
847	19.302	1364.75	0.1	38.16	
847	31.96	1380.01	0.09	40.61	
847	41.044	1450.82	0.17	50.92	
847	55.641	1371.51	0.15	44.95	
848	8.113	1505.72	-0.09	45.01	
848	7.853	1435.15	0.13	40.07	
848	20.08	1521.74	-0.1	50.16	
848	54.364	1504.81	-0.49	47.29	
848	53.168	1449.97	0.32	49.33	
848	19.339	1368.65	0.37	38.97	
848	7.838	1355.67	0.12	34.98	
848	31.904	1383.97	-0.56	39.57	
848	41.054	1455.94	0.1	51.18	
848	55.656	1376.02	0.15	45.02	
849	8.104	1510.22	-0.09	45.01	
849	7.866	1439.17	0.13	40.17	
849	20.07	1526.74	-0.1	50.05	
849	54.317	1509.53	-0.47	47.2	
849	53.168	1454.88	0	49.04	
849	19.391	1372.62	0.52	39.69	
849	7.849	1359.17	0.11	35	
849	31.841	1387.91	-0.63	39.45	
849	41.077	1461.09	0.23	51.55	
849	55.671	1380.51	0.15	44.99	
850	8.095	1514.71	-0.09	44.96	
850	7.879	1443.17	0.13	40.05	
850	20.06	1531.74	-0.1	49.98	
850	54.305	1514.34	-0.12	48.17	
850	53.184	1459.81	0.16	49.33	
850	19.413	1376.62	0.22	40.04	
850	7.861	1362.67	0.12	35.03	
850	31.816	1391.95	-0.25	40.41	
850	41.113	1466.23	0.36	51.37	
850	55.686	1385.01	0.15	45	
851	8.086	1519.2	-0.09	44.85	
851	7.892	1447.17	0.13	39.98	
851	20.05	1536.74	-0.1	50	
851	54.336	1519.28	0.31	49.37	
851	53.194	1464.74	0.1	49.28	
851	19.42	1380.63	0.07	40.09	
851	7.873	1366.19	0.12	35.16	
851	31.861	1396.13	0.45	41.74	
851	41.147	1471.31	0.34	50.76	
851	55.702	1389.51	0.16	44.98	
852	8.077	1523.7	-0.09	45.01	
852	7.905	1451.17	0.13	40.01	
852	20.041	1541.74	-0.09	50	
852	54.326	1524.29	-0.1	50.06	
852	53.198	1469.59	0.04	48.51	
852	19.433	1384.63	0.13	40.03	
852	7.891	1369.7	0.18	35.12	
852	31.881	1400.38	0.2	42.54	
852	41.171	1476.31	0.24	50.01	
852	55.716	1394.02	0.14	45.05	
853	8.052	1528.25	-0.25	45.51	
853	7.918	1455.17	0.13	39.97	
853	20.031	1546.74	-0.1	50	
853	54.316	1529.3	-0.1	50.17	
853	53.175	1474.32	-0.23	47.35	
853	19.447	1388.63	0.14	39.99	
853	7.92	1373.16	0.29	34.59	
853	31.895	1404.65	0.14	42.7	
853	41.167	1481.28	-0.04	49.76	
853	55.731	1398.53	0.15	45.11	
854	8.06	1532.86	0.08	46.12	
854	7.933	1459.17	0.15	40.02	
854	54.307	1534.31	-0.09	50.05	
854	53.152	1479.04	-0.23	47.15	
854	19.461	1392.63	0.14	40	
854	7.919	1376.5	-0.01	33.41	
854	31.91	1408.91	0.15	42.56	
854	41.151	1486.28	-0.16	49.97	
854	55.753	1403.02	0.22	44.91	
855	8.05	1537.51	-0.1	46.51	
855	7.945	1463.19	0.12	40.13	
855	54.296	1539.31	-0.11	49.98	
855	53.157	1483.81	0.05	47.76	
855	19.474	1396.63	0.13	40	
855	7.859	1379.71	-0.6	32.13	
855	31.924	1413.15	0.14	42.47	
855	41.141	1491.28	-0.1	50.01	
855	55.773	1407.47	0.2	44.53	
856	8.041	1542.19	-0.09	46.75	
856	7.939	1467.2	-0.06	40.17	
856	54.287	1544.31	-0.09	50	
856	53.186	1488.58	0.29	47.63	
856	19.487	1400.63	0.13	40	
856	7.771	1382.81	-0.88	30.96	
856	31.938	1417.4	0.14	42.42	
856	41.131	1496.28	-0.1	50.01	
856	55.725	1411.91	-0.48	44.37	
856	41.477	1355.62	0.16	48.37	
857	7.993	1546.92	-0.48	47.29	
857	7.931	1471.22	-0.08	40.14	
857	54.277	1549.31	-0.1	50	
857	53.154	1493.26	-0.32	46.78	
857	19.5	1404.63	0.13	40	
857	7.724	1385.85	-0.47	30.43	
857	31.916	1421.64	-0.22	42.45	
857	41.121	1501.28	-0.1	50	
857	55.582	1416.4	-1.43	44.87	
857	41.493	1360.52	0.16	48.94	
858	7.923	1475.21	-0.08	39.98	
858	53.129	1497.85	-0.25	45.98	
858	19.514	1408.63	0.14	40	
858	7.688	1388.89	-0.36	30.35	
858	31.972	1425.91	0.56	42.65	
858	41.111	1506.28	-0.1	50	
858	55.431	1421.01	-1.51	46.17	
858	41.509	1365.42	0.16	49.07	
858	53.5	1357.54	-0.61	45.12	
859	7.915	1479.2	-0.08	39.81	
859	53.103	1502.46	-0.26	46.05	
859	19.527	1412.63	0.13	40	
859	7.648	1391.94	-0.4	30.47	
859	32.206	1430.22	2.34	43.18	
859	41.101	1511.28	-0.1	50	
859	55.304	1425.76	-1.27	47.51	
859	41.519	1370.32	0.1	48.96	
859	53.492	1362	-0.08	44.59	
860	7.908	1483.19	-0.07	39.93	
860	53.091	1507.15	-0.12	46.92	
860	19.54	1416.63	0.13	40	
860	7.608	1394.99	-0.4	30.52	
860	32.571	1434.63	3.65	44.05	
860	41.091	1516.28	-0.1	50	
860	55.128	1430.61	-1.76	48.41	
860	41.542	1375.22	0.23	48.99	
860	53.513	1366.44	0.21	44.43	
861	7.858	1487.24	-0.5	40.55	
861	53.084	1511.96	-0.07	48.08	
861	19.554	1420.63	0.14	40	
861	7.568	1398.04	-0.4	30.47	
861	33.084	1439.11	5.13	44.8	
861	41.082	1521.28	-0.09	49.99	
861	54.943	1435.47	-1.85	48.69	
861	41.592	1380.13	0.5	49.15	
861	53.528	1370.88	0.15	44.43	
862	7.827	1491.43	-0.31	41.91	
862	53.091	1516.85	0.07	48.96	
862	19.566	1424.63	0.12	40	
862	7.528	1401.07	-0.4	30.35	
862	33.449	1443.62	3.65	45.11	
862	41.071	1526.28	-0.11	50.03	
862	54.759	1440.33	-1.84	48.58	
862	41.652	1385.08	0.6	49.45	
862	53.544	1375.34	0.16	44.51	
863	7.842	1495.74	0.15	43.08	
863	53.098	1521.76	0.07	49.1	
863	19.58	1428.63	0.14	40	
863	7.485	1404.11	-0.43	30.4	
863	33.648	1448.12	1.99	44.98	
863	41.062	1531.3	-0.09	50.15	
863	54.576	1445.18	-1.83	48.5	
863	41.702	1390.06	0.5	49.78	
863	53.558	1379.78	0.14	44.48	
864	7.874	1500.19	0.32	44.46	
864	53.136	1526.58	0.38	48.19	
864	19.593	1432.63	0.13	40	
864	7.418	1407.2	-0.67	30.94	
864	33.694	1452.59	0.46	44.7	
864	41.052	1536.31	-0.1	50.07	
864	54.392	1450.02	-1.84	48.39	
